quarter,region,population
2020.1,Canada,37899277
2020.1,Newfoundland and Labrador,523631
2020.1,Prince Edward Island,158629
2020.1,Nova Scotia,975898
2020.1,New Brunswick,780040
2020.1,Quebec,8556650
2020.1,Ontario,14689075
2020.1,Manitoba,1377004
2020.1,Saskatchewan,1179154
2020.1,Alberta,4402045
2020.1,British Columbia,5131575
2020.1,Yukon,41731
2020.1,Northwest Territories,45119
2020.1,Nunavut,38726
2020.2,Canada,37979854
2020.2,Newfoundland and Labrador,522994
2020.2,Prince Edward Island,159249
2020.2,Nova Scotia,977043
2020.2,New Brunswick,781024
2020.2,Quebec,8572054
2020.2,Ontario,14723497
2020.2,Manitoba,1378818
2020.2,Saskatchewan,1179618
2020.2,Alberta,4417006
2020.2,British Columbia,5142404
2020.2,Yukon,41980
2020.2,Northwest Territories,45201
2020.2,Nunavut,38966
2020.3,Canada,38005238
2020.3,Newfoundland and Labrador,522103
2020.3,Prince Edward Island,159625
2020.3,Nova Scotia,979351
2020.3,New Brunswick,781476
2020.3,Quebec,8574571
2020.3,Ontario,14734014
2020.3,Manitoba,1379263
2020.3,Saskatchewan,1178681
2020.3,Alberta,4421876
2020.3,British Columbia,5147712
2020.3,Yukon,42052
2020.3,Northwest Territories,45161
2020.3,Nunavut,39353
2020.4,Canada,38008005
2020.4,Newfoundland and Labrador,520961
2020.4,Prince Edward Island,159747
2020.4,Nova Scotia,979089
2020.4,New Brunswick,781282
2020.4,Quebec,8575812
2020.4,Ontario,14733506
2020.4,Manitoba,1379469
2020.4,Saskatchewan,1177782
2020.4,Alberta,4428082
2020.4,British Columbia,5145785
2020.4,Yukon,42165
2020.4,Northwest Territories,45037
2020.4,Nunavut,39288
2021.1,Canada,38048738
2021.1,Newfoundland and Labrador,520438
2021.1,Prince Edward Island,159819
2021.1,Nova Scotia,979449
2021.1,New Brunswick,782078
2021.1,Quebec,8575944
2021.1,Ontario,14755211
2021.1,Manitoba,1380935
2021.1,Saskatchewan,1178832
2021.1,Alberta,4436258
2021.1,British Columbia,5153039
2021.1,Yukon,42192
2021.1,Northwest Territories,45136
2021.1,Nunavut,39407
2021.2,Canada,38048738
2021.2,Newfoundland and Labrador,520438
2021.2,Prince Edward Island,159819
2021.2,Nova Scotia,979449
2021.2,New Brunswick,782078
2021.2,Quebec,8575944
2021.2,Ontario,14755211
2021.2,Manitoba,1380935
2021.2,Saskatchewan,1178832
2021.2,Alberta,4436258
2021.2,British Columbia,5153039
2021.2,Yukon,42192
2021.2,Northwest Territories,45136
2021.2,Nunavut,39407
